,Tree Name,Girth (m),Height (m)
1,AMRUD,0.63,3.00
2,AMRUD,0.61,3.00
3,AMRUD,0.31,2.50
4,AMRUD,0.31,2.50
5,AMRUD,0.31,2.50
6,AMRUD,0.31,2.50
7,AMRUD,0.31,2.50
8,AMRUD,0.31,2.50
9,AMRUD,0.31,2.50
10,AMRUD,0.31,2.50
11,AMRUD,0.31,2.50
12,AMRUD,0.31,2.50
13,AMRUD,0.31,2.50
14,AMRUD,0.31,2.50
15,AMRUD,0.31,2.50
16,AMRUD,0.31,2.50
17,AMRUD,0.31,2.50
18,AMRUD,0.31,2.50
19,AMRUD,0.31,2.50
20,AMRUD,0.31,2.50
21,AMRUD,0.31,2.50
22,AMRUD,0.31,2.50
23,AMRUD,0.31,2.50
24,AMRUD,0.31,2.50
25,AMRUD,0.31,2.50
26,AMRUD,0.31,2.50
27,AMRUD,0.31,2.50
28,AMRUD,0.31,2.50
29,AMRUD,0.31,2.50
30,AMRUD,0.31,2.50
31,AMRUD,0.31,2.50
32,AMRUD,0.31,2.50
33,AMRUD,0.31,2.50
34,AMRUD,0.31,2.50
35,AMRUD,0.31,2.50
36,AMRUD,0.31,2.50
37,AMRUD,0.31,2.50
38,AMRUD,0.31,2.50
39,AMRUD,0.31,2.50
40,AMRUD,0.31,2.50
41,AMRUD,0.31,2.50
42,AMRUD,0.31,2.50
43,AMRUD,0.31,2.50
44,AMRUD,0.31,2.50
45,AMRUD,0.31,2.50
46,AMRUD,0.31,2.50
47,AMRUD,0.31,2.50
48,AMRUD,0.31,2.50
49,AMRUD,0.31,2.50
50,AMRUD,0.31,2.50
51,AMRUD,0.31,2.50
52,AMRUD,0.31,2.50
53,AMRUD,0.31,2.50
54,AMRUD,0.31,2.50
55,AMRUD,0.31,2.50
56,AMRUD,0.31,2.50
57,AMRUD,0.31,2.50
58,AMRUD,0.31,2.50
59,AMRUD,0.31,2.50
60,AMRUD,0.31,2.50
61,AMRUD,0.31,2.50
62,AMRUD,0.31,2.50
63,AMRUD,0.31,2.50
64,AMRUD,0.31,2.50
65,AMRUD,0.31,2.50
66,AMRUD,0.31,2.50
67,AMRUD,0.31,2.50
68,AMRUD,0.31,2.50
69,AMRUD,0.31,2.50
70,AMRUD,0.31,2.50
71,AMRUD,0.31,2.50
72,AMRUD,0.31,2.50
73,AMRUD,0.31,2.50
74,AMRUD,0.31,2.50
75,AMRUD,0.31,2.50
76,AMRUD,0.31,2.50
77,AMRUD,0.31,2.50
78,AMRUD,0.31,2.50
79,AMRUD,0.31,2.50
80,AMRUD,0.31,2.50
81,AMRUD,0.31,2.50
82,AMRUD,0.31,2.50
83,AMRUD,0.31,2.50
84,AMRUD,0.31,2.50
85,AMRUD,0.31,2.50
86,AMRUD,0.31,2.50
87,AMRUD,0.31,2.50
88,AMRUD,0.31,2.50
89,AMRUD,0.31,2.50
90,AMRUD,0.31,2.50
91,AMRUD,0.31,2.50
92,AMRUD,0.31,2.50
93,AMRUD,0.31,2.50
94,AMRUD,0.31,2.50
95,AMRUD,0.31,2.50
96,AMRUD,0.31,2.50
97,AMRUD,0.31,2.50
98,AMRUD,0.31,2.50
99,AMRUD,0.31,2.50
100,AMRUD,0.31,2.50
101,AMRUD,0.31,2.50
102,AMRUD,0.31,2.50
103,AMRUD,0.31,2.50
104,AMRUD,0.31,2.50
105,AMRUD,0.31,2.50
106,AMRUD,0.31,2.50
107,AMRUD,0.31,2.50
108,AMRUD,0.31,2.50
109,AMRUD,0.31,2.50
110,AMRUD,0.31,2.50
111,AMRUD,0.31,2.50
112,AMRUD,0.31,2.50
113,AMRUD,0.31,2.50
114,AMRUD,0.31,2.50
115,AMRUD,0.31,2.50
116,AMRUD,0.31,2.50
117,AMRUD,0.31,2.50
118,AMRUD,0.31,2.50
119,AMRUD,0.31,2.50
120,AMRUD,0.31,2.50
121,AMRUD,0.31,2.50
122,AMRUD,0.31,2.50
123,AMRUD,0.31,2.50
124,AMRUD,0.31,2.50
125,AMRUD,0.31,2.50
126,AMRUD,0.31,2.50
127,AMRUD,0.31,2.50
128,AMRUD,0.31,2.50
129,AMRUD,0.31,2.50
130,AMRUD,0.31,2.50
131,AMRUD,0.31,2.50
132,AMRUD,0.31,2.50
133,AMRUD,0.31,2.50
134,AMRUD,0.31,2.50
135,AMRUD,0.31,2.50
136,AMRUD,0.31,2.50
137,AMRUD,0.31,2.50
138,AMRUD,0.31,2.50
139,AMRUD,0.31,2.50
140,AMRUD,0.31,2.50
141,AMRUD,0.31,2.50
142,AMRUD,0.31,2.50
143,AMRUD,0.31,2.50
144,AMRUD,0.31,2.50
145,AMRUD,0.31,2.50
146,AMRUD,0.31,2.50
147,AMRUD,0.31,2.50
148,AMRUD,0.31,2.50
149,AMRUD,0.31,2.50
150,AMRUD,0.31,2.50
151,AMRUD,0.31,2.50
152,AMRUD,0.31,2.50
153,AMRUD,0.31,2.50
154,AMRUD,0.31,2.50
155,AMRUD,0.31,2.50
156,AMRUD,0.31,2.50
157,AMRUD,0.31,2.50
158,AMRUD,0.31,2.50
159,AMRUD,0.31,2.50
160,AMRUD,0.31,2.50
161,AMRUD,0.31,2.50
162,AMRUD,0.31,2.50
163,AMRUD,0.31,2.50
164,AMRUD,0.31,2.50
165,AMRUD,0.31,2.50
166,AMRUD,0.31,2.50
167,AMRUD,0.31,2.50
168,AMRUD,0.31,2.50
169,AMRUD,0.31,2.50
170,AMRUD,0.31,2.50
171,AMRUD,0.31,2.50
172,AMRUD,0.31,2.50
173,AMRUD,0.31,2.50
174,AMRUD,0.31,2.50
175,AMRUD,0.31,2.50
176,AMRUD,0.31,2.50
177,AMRUD,0.31,2.50
178,AMRUD,0.31,2.50
179,AMRUD,0.31,2.50
180,AMRUD,0.31,2.50
181,AMRUD,0.31,2.50
182,AMRUD,0.31,2.50
183,AMRUD,0.31,2.50
184,AMRUD,0.31,2.50
185,AMRUD,0.31,2.50
186,AMRUD,0.31,2.50
187,AMRUD,0.31,2.50
188,AMRUD,0.31,2.50
189,AMRUD,0.31,2.50
190,AMRUD,0.31,2.50
191,AMRUD,0.31,2.50
192,AMRUD,0.31,2.50
193,AMRUD,0.31,2.50
194,AMRUD,0.31,2.50
195,AMRUD,0.31,2.50
196,AMRUD,0.31,2.50
197,AMRUD,0.31,2.50
198,AMRUD,0.31,2.50
199,AMRUD,0.31,2.50
200,AMRUD,0.31,2.50
201,AMRUD,0.31,2.50
202,AMRUD,0.31,2.50
203,AMRUD,0.31,2.50
204,AMRUD,0.31,2.50
205,AMRUD,0.31,2.50
206,AMRUD,0.31,2.50
207,AMRUD,0.31,2.50
208,AMRUD,0.31,2.50
209,AMRUD,0.31,2.50
210,AMRUD,0.31,2.50
211,AMRUD,0.31,2.50
212,AMRUD,0.31,2.50
213,AMRUD,0.31,2.50
214,AMRUD,0.31,2.50
215,AMRUD,0.31,2.50
216,AMRUD,0.31,2.50
217,AMRUD,0.31,2.50
218,AMRUD,0.31,2.50
219,AMRUD,0.31,2.50
220,AMRUD,0.31,2.50
221,AMRUD,0.31,2.50
222,AMRUD,0.31,2.50
223,AMRUD,0.31,2.50
224,AMRUD,0.31,2.50
225,AMRUD,0.31,2.50
226,AMRUD,0.31,2.50
227,AMRUD,0.31,2.50
228,AMRUD,0.31,2.50
229,AMRUD,0.31,2.50
230,AMRUD,0.31,2.50
231,AMRUD,0.31,2.50
232,AMRUD,0.31,2.50
233,AMRUD,0.31,2.50
234,AMRUD,0.31,2.50
235,AMRUD,0.31,2.50
236,AMRUD,0.31,2.50
237,AMRUD,0.31,2.50
238,AMRUD,0.31,2.50
239,AMRUD,0.31,2.50
240,AMRUD,0.31,2.50
241,AMRUD,0.31,2.50
242,AMRUD,0.31,2.50
243,AMRUD,0.31,2.50
244,AMRUD,0.31,2.50
245,AMRUD,0.31,2.50
246,AMRUD,0.31,2.50
247,AMRUD,0.31,2.50
248,Ardusa,1.40,11.00
